"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9914","debe eliminar correctamente un producto de Favoritos","firefox","2026-09-06","failed","2026-09-06","WEB-TC-015: Eliminar un producto de Favoritos","web\WEB-TC-015.spec.ts","",""
"","650","API-TC-011: no permite comprar con el carrito vacío","firefox","2026-09-06","passed","2026-09-06","Creación de pedidos mediante API","api\api-tc-011.spec.ts","",""
"","1051","API-TC-012: checkout con dos productos","webkit","2026-09-06","failed","2026-09-06","","api\api-tc-012.spec.ts","",""
"","8011","rechaza el inicio de sesión con contraseña incorrecta","webkit","2026-09-06","failed","2026-09-06","WEB-TC-005: Rechazo de contraseña incorrecta","web\WEB-TC-005.spec.ts","",""
"","7152","debe agregar dos productos diferentes al carrito correctamente","chromium","2026-09-06","failed","2026-09-06","WEB-TC-016: Agregar dos productos distintos al carrito","web\WEB-TC-016.spec.ts","",""
"","9234","debe mostrar un estado vacío cuando el usuario no tiene pedidos","webkit","2026-09-06","failed","2026-09-06","WEB-TC-021: Estado vacío de Mis pedidos","web\WEB-TC-021.spec.ts","",""
"","2037","inicia sesión con credenciales válidas y muestra rol admin","chromium","2026-09-06","passed","2026-09-06","WEB-TC-004: Inicio de sesión correcto con Admin","web\WEB-TC-004.spec.ts","",""
"","8092","debe crear el Pedido #1 y vaciar el carrito después del checkout","webkit","2026-09-06","passed","2026-09-06","WEB-TC-020: Finalizar compra y registrar pedido","web\WEB-TC-020.spec.ts","",""
"","10131","debe agregar dos productos diferentes al carrito correctamente","firefox","2026-09-06","failed","2026-09-06","WEB-TC-016: Agregar dos productos distintos al carrito","web\WEB-TC-016.spec.ts","",""
"","7131","inicia sesión con credenciales válidas y muestra rol manager","firefox","2026-09-06","passed","2026-09-06","WEB-TC-003: Inicio de sesión correcto con Manager","web\WEB-TC-003.spec.ts","",""
"","3753","debe mostrar Gestión para manager sin controles de eliminación","firefox","2026-09-06","passed","2026-09-06","WEB-TC-023: Permisos visuales del rol Manager","web\WEB-TC-023.spec.ts","",""
"","3733","no debe mostrar Gestión ni controles administrativos para customer","webkit","2026-09-06","passed","2026-09-06","WEB-TC-024: Restricción visual del rol Customer","web\WEB-TC-024.spec.ts","",""
"","8695","debe mostrar correctamente las ofertas del día y sus descuentos","firefox","2026-09-06","failed","2026-09-06","WEB-TC-012: Visualización de Ofertas del día","web\WEB-TC-012.spec.ts","",""
"","2499","muestra todos los productos del catálogo semilla","firefox","2026-09-06","passed","2026-09-06","WEB-TC-008: Catálogo semilla completo","web\WEB-TC-008.spec.ts","",""
"","9795","debe eliminar correctamente un producto de Favoritos","webkit","2026-09-06","failed","2026-09-06","WEB-TC-015: Eliminar un producto de Favoritos","web\WEB-TC-015.spec.ts","",""
"","8095","debe mostrar Gestión y controles de eliminación para admin","firefox","2026-09-06","passed","2026-09-06","WEB-TC-022: Permisos visuales del rol Admin","web\WEB-TC-022.spec.ts","",""
"","8035","debe eliminar correctamente un producto de Favoritos","chromium","2026-09-06","failed","2026-09-06","WEB-TC-015: Eliminar un producto de Favoritos","web\WEB-TC-015.spec.ts","",""
"","4334","inicia sesión con credenciales válidas y muestra rol customer","webkit","2026-09-06","passed","2026-09-06","WEB-TC-002: Inicio de sesión correcto con Customer","web\WEB-TC-002.spec.ts","",""
"","7473","debe quitar un producto y reflejar el carrito vacío","firefox","2026-09-06","passed","2026-09-06","WEB-TC-018: Eliminar producto del carrito","web\WEB-TC-018.spec.ts","",""
"","4952","debe mantener deshabilitado el checkout cuando el carrito está vacío","webkit","2026-09-06","passed","2026-09-06","WEB-TC-019: Checkout deshabilitado con carrito vacío","web\WEB-TC-019.spec.ts","",""
"","899","API-TC-014: Manager puede crear y modificar, pero no eliminar","chromium","2026-09-06","failed","2026-09-06","","api\api-tc-014.spec.ts","",""
"","4474","debe quitar un producto y reflejar el carrito vacío","chromium","2026-09-06","passed","2026-09-06","WEB-TC-018: Eliminar producto del carrito","web\WEB-TC-018.spec.ts","",""
"","5082","muestra el formulario de login y el catálogo público con Bug Hunting ON","chromium","2026-09-06","passed","2026-09-06","WEB-TC-001: Visualización del catálogo sin iniciar sesión","web\WEB-TC-001.spec.ts","",""
"","4369","debe mostrar un estado vacío cuando el usuario no tiene pedidos","firefox","2026-09-06","passed","2026-09-06","WEB-TC-021: Estado vacío de Mis pedidos","web\WEB-TC-021.spec.ts","",""
"","8281","debe acumular la cantidad al agregar dos veces el mismo producto","chromium","2026-09-06","failed","2026-09-06","WEB-TC-017: Acumulación de cantidad del mismo producto","web\WEB-TC-017.spec.ts","",""
"","3040","inicia sesión con credenciales válidas y muestra rol admin","webkit","2026-09-06","passed","2026-09-06","WEB-TC-004: Inicio de sesión correcto con Admin","web\WEB-TC-004.spec.ts","",""
"","8229","debe mostrar correctamente las ofertas del día y sus descuentos","chromium","2026-09-06","failed","2026-09-06","WEB-TC-012: Visualización de Ofertas del día","web\WEB-TC-012.spec.ts","",""
"","10307","debe agregar un producto a Favoritos correctamente","firefox","2026-09-06","failed","2026-09-06","WEB-TC-014: Agregar un producto a Favoritos","web\WEB-TC-014.spec.ts","",""
"","2376","no debe mostrar Gestión ni controles administrativos para customer","chromium","2026-09-06","passed","2026-09-06","WEB-TC-024: Restricción visual del rol Customer","web\WEB-TC-024.spec.ts","",""
"","1269","API-TC-015: Admin tiene permisos completos sobre productos","webkit","2026-09-06","passed","2026-09-06","","api\api-tc-015.spec.ts","",""
"","7792","debe calcular correctamente el porcentaje de descuento de una oferta","chromium","2026-09-06","failed","2026-09-06","WEB-TC-013: Cálculo correcto del porcentaje de descuento","web\WEB-TC-013.spec.ts","",""
"","6629","rechaza el inicio de sesión con contraseña incorrecta","chromium","2026-09-06","failed","2026-09-06","WEB-TC-005: Rechazo de contraseña incorrecta","web\WEB-TC-005.spec.ts","",""
"","6652","debe mantener deshabilitado el checkout cuando el carrito está vacío","firefox","2026-09-06","passed","2026-09-06","WEB-TC-019: Checkout deshabilitado con carrito vacío","web\WEB-TC-019.spec.ts","",""
"","2417","muestra el menú lateral después de iniciar sesión correctamente","firefox","2026-09-06","passed","2026-09-06","WEB-TC-007: Menú lateral visible después del login","web\WEB-TC-007.spec.ts","",""
"","2131","inicia sesión con credenciales válidas y muestra rol manager","chromium","2026-09-06","passed","2026-09-06","WEB-TC-003: Inicio de sesión correcto con Manager","web\WEB-TC-003.spec.ts","",""
"","295","API-TC-013: protege la creación de productos","firefox","2026-09-06","failed","2026-09-06","","api\api-tc-013.spec.ts","",""
"","205","API-TC-013: protege la creación de productos","chromium","2026-09-06","failed","2026-09-06","","api\api-tc-013.spec.ts","",""
"","2813","muestra el formulario de login y el catálogo público con Bug Hunting ON","webkit","2026-09-06","passed","2026-09-06","WEB-TC-001: Visualización del catálogo sin iniciar sesión","web\WEB-TC-001.spec.ts","",""
"","9544","debe crear el Pedido #1 y vaciar el carrito después del checkout","chromium","2026-09-06","failed","2026-09-06","WEB-TC-020: Finalizar compra y registrar pedido","web\WEB-TC-020.spec.ts","",""
"","4030","impide agregar un producto al carrito sin iniciar sesión","webkit","2026-09-06","passed","2026-09-06","WEB-TC-006: Acción protegida sin autenticación","web\WEB-TC-006.spec.ts","",""
"","8038","debe crear un producto desde Gestión y mostrarlo en el listado","chromium","2026-09-06","failed","2026-09-06","WEB-TC-025: Creación de producto desde Gestión por Admin","web\WEB-TC-025.spec.ts","",""
